id,name,icon_file,description
fire,Fire,elem_fire.png,"Heat, aggression, and direct damage. Fire cards focus on burst attacks, burns, and risky overdrive effects."
water,Water,elem_water.png,"Flow, adaptability, and control. Water cards manipulate tempo, accuracy, and battlefield position."
electric,Electric,elem_electric.png,"Speed, disruption, and chain reactions. Electric cards excel at quick hits, stuns, and chaining effects."
nature,Nature,elem_nature.png,"Growth, recovery, and resilience. Nature cards specialize in healing, regeneration, and swarm tactics."
ice,Ice,elem_ice.png,"Control, slowdown, and precision. Ice cards freeze, slow, or lock down enemy actions and movement."
steel,Steel,elem_steel.png,"Armor, structure, and reliability. Steel cards provide strong defenses, blocking, and damage reduction."
dark,Dark,elem_dark.png,"Risk, corruption, and power at a cost. Dark cards trade health or resources for huge but dangerous payoffs."
light,Light,elem_light.png,"Purity, protection, and clarity. Light cards cleanse debuffs, shield allies, and punish corrupted foes."
psychic,Psychic,elem_psychic.png,"Mind games, prediction, and control. Psychic cards reveal information and manipulate choices or positions."
tech,Tech,elem_tech.png,"Gadgets, automation, and precision tools. Tech cards interact with costs, cooldowns, and battlefield objects."
plasma,Plasma,elem_plasma.png,"Unstable, high‑energy power. Plasma cards build charge toward explosive, high‑impact attacks."
wind,Wind,elem_wind.png,"Air, speed, and evasion. Wind cards emphasize dodges, repositioning, and turn order tricks."
earth,Earth,elem_earth.png,"Stability, pressure, and terrain. Earth cards create walls, hazards, and sustained frontline presence."
poison,Poison,elem_poison.png,"Venom, decay, and attrition. Poison cards inflict damage over time and weaken enemy defenses."
crystal,Crystal,elem_crystal.png,"Focus, amplification, and channeling. Crystal cards boost or redirect elemental damage and effects."
gravity,Gravity,elem_gravity.png,"Weight, control, and positioning. Gravity cards pull, push, or pin targets and warp movement."
toxic,Toxic,elem_toxic.png,"Corrosive contamination and area denial. Toxic cards flood zones with lasting hazards and stacking debuffs."
solar,Solar,elem_solar.png,"Radiant, steady power from the sun. Solar cards reward sustained play, shielding allies and boosting light damage."
lunar,Lunar,elem_lunar.png,"Rhythmic, phase‑based magic. Lunar cards change strength over time and interact with status and timing."
void,Void,elem_void.png,"Emptiness, disruption, and anti‑energy. Void cards cancel, erase, or invert other elements and effects."
